report_id,kpi_family,metric_label,mp11_anchor,candidate_anchor,evidence_strength,evidence_role,caveat,release_implication,blocker_status,source_file
land_total_forested,land_base,Total forested,196233.0 ha; pages 284,P2.4e smoke total forested: 196833.177 ha,tracked_mp11_table_or_text,phase6_land_base_comparison_only,Reviewed planning comparison row. Values are not accepted model inputs until a later implementation phase explicitly promotes them.,MP11 total forested area is close to the Phase 2 smoke checkpoint; difference is small relative to total land base.,comparison_context_only,planning/tfl6_mp11_land_base_crosswalk.csv
land_productive_forest,land_base,Productive forest / PFLB / AFLB-style checkpoint,"187425.0 ha; pages 15, 54, 284",Phase 5 accepted AFLB resultant-fragment area: 191168.597386 ha,tracked_mp11_table_or_text,phase6_land_base_comparison_only,Reviewed planning comparison row. Values are not accepted model inputs until a later implementation phase explicitly promotes them.,MP11 productive forest is lower than the accepted Phase 5 AFLB surface. This is a direct Phase 6 land-base delta requiring source-layer and netdown review.,comparison_context_only,planning/tfl6_mp11_land_base_crosswalk.csv
land_total_operable,land_base,Total operable,156305.0 ha; pages 284,P2.4e smoke total operable: 174768.947 ha,tracked_mp11_table_or_text,phase6_land_base_comparison_only,Reviewed planning comparison row. Values are not accepted model inputs until a later implementation phase explicitly promotes them.,MP11 total operable area is materially lower than the Phase 2 smoke checkpoint; operability and economic operability assumptions need dedicated P6.4 review.,comparison_context_only,planning/tfl6_mp11_land_base_crosswalk.csv
land_current_thlb,land_base,Current THLB,"120099.0 ha; pages 15, 53, 75, 284, 285",Phase 5 accepted weighted THLB area: 139995.798287 ha,tracked_mp11_table_or_text,phase6_land_base_comparison_only,Reviewed planning comparison row. Values are not accepted model inputs until a later implementation phase explicitly promotes them.,MP11 current THLB is substantially lower than the accepted Phase 5 THLB surface. This is the central land-base delta for MP11 model-overhaul planning.,comparison_context_only,planning/tfl6_mp11_land_base_crosswalk.csv
land_non_contributing_landbase,land_base,NCLB / productive forest not available for harvesting,67326.0 ha; pages 15,Phase 5 accepted NTHLB area: 51172.799099 ha,tracked_mp11_table_or_text,phase6_land_base_comparison_only,Reviewed planning comparison row. Values are not accepted model inputs until a later implementation phase explicitly promotes them.,"MP11 NCLB is higher than the Phase 5 NTHLB surface, consistent with the lower MP11 THLB.",comparison_context_only,planning/tfl6_mp11_land_base_crosswalk.csv
land_long_term_landbase,land_base,Long-term land base after future roads,"118672.0 ha; pages 54, 285",Scaled MP10 long-term landbase benchmark: 134598.87 ha,tracked_mp11_table_or_text,phase6_land_base_comparison_only,Reviewed planning comparison row. Values are not accepted model inputs until a later implementation phase explicitly promotes them.,MP11 long-term land base is materially lower than the prior scaled benchmark; Phase 5 did not implement future-road long-term adjustment as an active base-lane output.,comparison_context_only,planning/tfl6_mp11_land_base_crosswalk.csv
land_current_aac_supporting_thlb,land_base,Current AAC-supporting THLB from previous MPs,133665.0 ha; pages 53,Scaled MP10 current-THLB benchmark: 136487.728 ha,tracked_mp11_table_or_text,phase6_land_base_comparison_only,Reviewed planning comparison row. Values are not accepted model inputs until a later implementation phase explicitly promotes them.,"MP11 reports a previous-MP aggregated THLB close to the Phase 5 scaled benchmark, supporting the earlier benchmark as a reasonable planning reference.",comparison_context_only,planning/tfl6_mp11_land_base_crosswalk.csv
netdown_ogma_wha_conservation,source_thlb_constraints,Legal/proposed OGMAs and WHAs,productive delta 7334.0 ha; THLB-net delta  ha,partially_public_spatial_layer_rebuild,tracked_mp11_table_or_text,phase6_land_base_comparison_only,"MP11 adds 7,334 ha of conserved productive forest in legal/proposed OGMAs and WHAs. Legal designations may be public; proposed areas require careful source/version review.",Follow-up lane P6.3/P6.4; keep visible in Phase 13 caveats.,caveated_not_blocking,planning/tfl6_mp11_netdown_delta_crosswalk.csv
netdown_research_psp_big_tree_karst,source_thlb_constraints,"Additional land-base values: research, PSPs, big trees, karst",productive delta 25207.0 ha; THLB-net delta 3910.0 ha,mixed_public_proxy_or_confidential,tracked_mp11_table_or_text,phase6_land_base_comparison_only,MP11 explicitly adds THLB exclusions for values not specifically accounted for in previous MPs. Karst and big-tree evidence may be partly public/proxy; PSP/research-site details may not be fully public.,Follow-up lane P6.3/P6.4; keep visible in Phase 13 caveats.,release_caveat,planning/tfl6_mp11_netdown_delta_crosswalk.csv
netdown_nonproductive_low_sites,source_thlb_constraints,Non-productive and low sites,productive delta 20720.0 ha; THLB-net delta 4032.0 ha,public_inventory_and_lidar_proxy,tracked_mp11_table_or_text,phase6_land_base_comparison_only,"MP11 increases non/low productivity net THLB reductions by 4,032 ha. This likely requires revisiting VRI productivity, LiDAR height/productivity proxies, and low-site rules.",Follow-up lane P6.3/P6.4; keep visible in Phase 13 caveats.,caveated_not_blocking,planning/tfl6_mp11_netdown_delta_crosswalk.csv
netdown_inoperable,source_thlb_constraints,Inoperable,productive delta 17490.0 ha; THLB-net delta 8383.0 ha,public_dem_proxy_plus_wfp_operability_gap,tracked_mp11_table_or_text,phase6_land_base_comparison_only,"MP11 materially increases inoperable net THLB reductions. A public DEM/slope proxy can be rebuilt, but WFP's land-base blocking and economic operability logic may not be fully public.",Follow-up lane P6.4; keep visible in Phase 13 caveats.,release_caveat,planning/tfl6_mp11_netdown_delta_crosswalk.csv
netdown_riparian_management,source_thlb_constraints,Riparian management,productive delta 31933.0 ha; THLB-net delta -8477.0 ha,public_hydrography_lidar_proxy,tracked_mp11_table_or_text,phase6_land_base_comparison_only,"MP11 reports much larger riparian productive area but lower net THLB reduction due to overlaps with earlier exclusions. This needs ordered-overlay reproduction, not independent category summation.",Follow-up lane P6.3/P6.4; keep visible in Phase 13 caveats.,caveated_not_blocking,planning/tfl6_mp11_netdown_delta_crosswalk.csv
netdown_terrain_stability_lidar_slope,source_thlb_constraints,Terrain stability and LiDAR 90%+ slope,productive delta 10708.0 ha; THLB-net delta 2508.0 ha,public_dem_proxy_plus_lidar_gap,tracked_mp11_table_or_text,phase6_land_base_comparison_only,"MP11 adds LiDAR 90%+ slope logic and reports terrain/slope net reductions. Public DEM can approximate this, but source-specific LiDAR products may not be available.",Follow-up lane P6.4; keep visible in Phase 13 caveats.,release_caveat,planning/tfl6_mp11_netdown_delta_crosswalk.csv
netdown_existing_future_wtra,source_thlb_constraints,Existing and future WTRAs,productive delta 7287.0 ha; THLB-net delta 690.0 ha,partly_aspatial_policy_parameter,tracked_mp11_table_or_text,phase6_land_base_comparison_only,MP11 tracks existing WTRAs spatially and future stand-level reserves separately. Future WTRAs remain partly aspatial policy assumptions.,Follow-up lane P6.3/P6.4; keep visible in Phase 13 caveats.,caveated_not_blocking,planning/tfl6_mp11_netdown_delta_crosswalk.csv
netdown_mha_95_cmai,source_thlb_constraints,95% CMAI minimum harvest age plus 350 m3/ha minimum volume,productive delta  ha; THLB-net delta  ha,model_parameter_rebuild,tracked_mp11_table_or_text,phase6_land_base_comparison_only,MP11 replaces harvest-system/DBH MHA logic with 95% CMAI and minimum volume criteria. This is a yield/treatment/model-behavior change rather than a land-base area deduction.,Follow-up lane P6.4/P6.5; keep visible in Phase 13 caveats.,caveated_not_blocking,planning/tfl6_mp11_netdown_delta_crosswalk.csv
netdown_vqo_eca_patchworks_spatial,source_thlb_constraints,"VQO, ECA, adjacency/green-up, and Patchworks spatial modelling",productive delta  ha; THLB-net delta  ha,model_constraint_rebuild,tracked_mp11_table_or_text,phase6_land_base_comparison_only,"Several MP11 changes limit harvest levels without directly reducing THLB. They need Patchworks constraint/scenario planning, not only source-layer netdown work.",Follow-up lane P6.5/P6.6; keep visible in Phase 13 caveats.,caveated_not_blocking,planning/tfl6_mp11_netdown_delta_crosswalk.csv
behavior_base_case_harvest_level,base_case,base_case_harvest_level,"MP11 Base Case is an even-flow harvest projection over 300 years, net of 1.5% non-recoverable losses, and represents about 90% of adjusted LRSY. Numeric anchor: Base Case `1,061,600 m3/year`; current AAC `1,362,000 m3/year`; reported decrease `22.1%`.","Phase 5 has a launch-smoked teaching runtime with generic managed CC harvest signals, but no accepted AAC-equivalent base-case calibration.",tracked_mp11_table_or_text,phase6_model_behavior_comparison_only,Do not claim the Phase 5 teaching runtime reproduces this AAC forecast.,"Use the MP11 base-case harvest level as a future calibration and QA target after source-layer, AU/yield, MHA, and constraint rebuilds are complete.",comparison_context_only,planning/tfl6_mp11_model_behavior_crosswalk.csv
behavior_alternate_harvest_flows,harvest_flow,alternate_harvest_flows,"MP11 evaluates maintaining current AAC for 10 years and maximizing short-term harvest with controlled mid-term effects. Numeric anchor: Maintain-current-AAC long-term endpoint `1,055,200`; maximize-short-term first decade `1,147,700` and long-term endpoint `1,095,500` m3/year.","Phase 5 includes a representative max-even-flow smoke mode, but it was a runtime-signal smoke rather than a reviewed MP11-style flow comparison.",tracked_mp11_table_or_text,phase6_model_behavior_comparison_only,"The existing runtime smoke proves capability, not MP11-equivalent behavior.",Add explicit harvest-flow scenario definitions and QA metrics after MP11 model inputs are rebuilt.,release_caveat,planning/tfl6_mp11_model_behavior_crosswalk.csv
behavior_yield_sensitivity_response,sensitivity,yield_sensitivity_response,"MP11 is more sensitive to managed-stand yield changes than natural-stand yield changes; LiDAR/ITI/LEFI and reduced OAF1 produce the largest uplift. Numeric anchor: Natural +10% `1,075,300`; natural -10% `1,036,600`; managed +10% `1,138,800`; managed -10% `970,900`; ITI/LEFI/OAF1 even-flow `1,150,300`.","Phase 5 has reviewed VDYP/TIPSY curve surfaces, but no MP11-style sensitivity suite and no accepted LiDAR/ITI/LEFI input surface.",tracked_mp11_table_or_text,phase6_model_behavior_comparison_only,"The high-yield LiDAR/OAF1 scenario is evidence for scoping, not a public-data input.",Build a public-data sensitivity suite and isolate WFP-only LiDAR/ITI/LEFI uplift as an unavailable or explicitly approximated scenario.,comparison_context_only,planning/tfl6_mp11_model_behavior_crosswalk.csv
behavior_policy_and_constraint_sensitivities,sensitivity,policy_and_constraint_sensitivities,"MP11 tests no genetic gain, full NSOG old-seral targets, MHA +/- 10 years, helicopter exclusion, and THLB +/- 10%. Numeric anchor: No genetic gain `1,004,000`; full NSOG `1,049,400`; MHA +10 `956,000`; MHA -10 `1,074,300`; helicopter excluded `1,021,900`; THLB -10 `953,500`; THLB +10 `1,118,200` m3/year.","Phase 5 documents these as deferred or scenario-worthy concepts, not as implemented MP11-equivalent sensitivity runs.",tracked_mp11_table_or_text,phase6_model_behavior_comparison_only,"These are candidate future scenario tests, not Phase 5 behavior claims.","Prioritize MHA, harvest-system exclusion, THLB adjustment, and genetic-gain sensitivities because their MP11 effects are numerically clear.",release_caveat,planning/tfl6_mp11_model_behavior_crosswalk.csv
behavior_aac_recommendation_bridge,aac_recommendation,aac_recommendation_bridge,"MP11 recommends a step-down LiDAR/ITI/LEFI/OAF1 scenario for the next 10 years after the base-case analysis. Numeric anchor: AAC recommendation `1,252,700 m3/year`; uplift from Base Case `191,100 m3/year`; about `1.1%` below the scheduled MP10 decline benchmark.",Phase 5 has no AAC-recommendation lane and must not be represented as a Chief-Forester-ready or WFP-model-equivalent forecast.,tracked_mp11_table_or_text,phase6_model_behavior_comparison_only,The recommendation depends on WFP inventory/model assumptions that are not fully public.,"Treat the AAC recommendation as a high-level target for a future MP11-aligned scenario, gated on inventory/yield and flow-policy decisions.",release_caveat,planning/tfl6_mp11_model_behavior_crosswalk.csv
behavior_growing_stock_dynamics,kpi,growing_stock_dynamics,"MP11 reports base-case and AAC-recommendation THLB growing-stock trajectories split by <=120 and >120 year categories. Numeric anchor: Base-case total THLB GS min/max `35,088,106`/`41,629,956`; AAC recommendation min/max `37,823,276`/`40,829,741` m3.","Phase 5 exposes managed/unmanaged area and yield signals, but does not publish MP11-style THLB growing-stock KPI trajectories.",tracked_mp11_table_or_text,phase6_model_behavior_comparison_only,"Figure values are comparison evidence from recovered chart data, not model input.",Add comparable growing-stock reports once MP11-aligned Patchworks outputs exist.,release_caveat,planning/tfl6_mp11_model_behavior_crosswalk.csv
behavior_harvest_system_and_operational_kpis,kpi,harvest_system_and_operational_kpis,"MP11 reports harvest-system, block-size, harvest-age, harvested-area, volume-per-ha, species-composition, and elevation-band behavior for base-case and AAC scenarios. Numeric anchor: Base-case harvest-system average is 57% ground, 40% cable, and 3% helicopter; average block size is 19.1 ha; long-term harvested area averages 1,430 ha/year.","Phase 5 explicitly defers ground/cable/heli assignment and carries harvest-system placeholders, so MP11 operational KPI comparison is mostly a future reporting gap.",tracked_mp11_table_or_text,phase6_model_behavior_comparison_only,Do not backfill stand-level harvest systems from aggregate MP11 percentages.,Create public-data harvest-system proxies before attempting MP11-style operational KPI reports.,release_caveat,planning/tfl6_mp11_model_behavior_crosswalk.csv
behavior_cedar_age_old_seral_kpis,kpi,cedar_age_old_seral_kpis,"MP11 reports age-class, cedar, old-cedar, and old-seral trajectories for base-case and AAC-recommendation scenarios. Numeric anchor: Phase 7 reviewed age-class, cedar, and old-seral figures for planning only; they were not promoted to comparison-accepted status.","Phase 5 carries cedar signals for teaching/reporting, but no hard cedar reserve, utility-pole-grade, or MP11 old-seral KPI calibration.",tracked_mp11_table_or_text,phase6_model_behavior_comparison_only,Planning-only figure evidence should not be mixed with accepted comparison rows.,Use planning-only evidence to design reports and stronger validation checks before promoting these KPI families.,comparison_context_only,planning/tfl6_mp11_model_behavior_crosswalk.csv
figure_figure_29,reviewed_figure_evidence,Harvest Levels with Adjusted ITI Stand Yields,Figure 29 page 129,deterministic extraction; overlay contact-sheet inspection; adjacent MP11 table cross-check <= 1.0%,reviewed_mp11_figure_extraction,phase6_mp11_comparison_only,Accepted only for MP11 comparison planning. Do not use as model input without a later maintainer review and explicit promotion.,Comparison evidence only; do not promote to model input in Phase 13.,not_blocking,planning/tfl6_mp11_reviewed_extraction_manifest.csv
figure_figure_30,reviewed_figure_evidence,Harvest Levels with ITI adjusted volumes and LiDAR-derived Height and Site Index,Figure 30 page 131,deterministic extraction; overlay contact-sheet inspection; adjacent MP11 table cross-check <= 1.0%,reviewed_mp11_figure_extraction,phase6_mp11_comparison_only,Accepted only for MP11 comparison planning. Do not use as model input without a later maintainer review and explicit promotion.,Comparison evidence only; do not promote to model input in Phase 13.,not_blocking,planning/tfl6_mp11_reviewed_extraction_manifest.csv
figure_figure_31,reviewed_figure_evidence,"Harvest Levels with ITI adjusted volumes, LiDAR-derived Height and Site Index, and reduced OAF1",Figure 31 page 132,deterministic extraction; overlay contact-sheet inspection; adjacent MP11 table cross-check <= 1.0%,reviewed_mp11_figure_extraction,phase6_mp11_comparison_only,Accepted only for MP11 comparison planning. Do not use as model input without a later maintainer review and explicit promotion.,Comparison evidence only; do not promote to model input in Phase 13.,not_blocking,planning/tfl6_mp11_reviewed_extraction_manifest.csv
figure_figure_35,reviewed_figure_evidence,Harvest Levels with MHA Increased by 10 Years,Figure 35 page 144,deterministic extraction; overlay contact-sheet inspection; adjacent MP11 table cross-check <= 1.0%,reviewed_mp11_figure_extraction,phase6_mp11_comparison_only,Accepted only for MP11 comparison planning. Do not use as model input without a later maintainer review and explicit promotion.,Comparison evidence only; do not promote to model input in Phase 13.,not_blocking,planning/tfl6_mp11_reviewed_extraction_manifest.csv
figure_figure_36,reviewed_figure_evidence,Harvest Levels with MHA Decreased by 10 Years,Figure 36 page 145,deterministic extraction; overlay contact-sheet inspection; adjacent MP11 table cross-check <= 1.0%,reviewed_mp11_figure_extraction,phase6_mp11_comparison_only,Accepted only for MP11 comparison planning. Do not use as model input without a later maintainer review and explicit promotion.,Comparison evidence only; do not promote to model input in Phase 13.,not_blocking,planning/tfl6_mp11_reviewed_extraction_manifest.csv
figure_figure_39,reviewed_figure_evidence,Harvest Levels with 10% THLB Decreases,Figure 39 page 148,deterministic extraction; overlay contact-sheet inspection; adjacent MP11 table cross-check <= 1.0%,reviewed_mp11_figure_extraction,phase6_mp11_comparison_only,Accepted only for MP11 comparison planning. Do not use as model input without a later maintainer review and explicit promotion.,Comparison evidence only; do not promote to model input in Phase 13.,not_blocking,planning/tfl6_mp11_reviewed_extraction_manifest.csv
runtime_matrix_builder_tracks,runtime_build,Matrix Builder track generation,Phase 11 candidate XML/fragments,13 track files; 86574 feature rows; 823 account rows,tracked_runtime_output,candidate_runtime_smoke,Generated tracks are ignored local runtime outputs summarized by tracked QA.,Supports runtime buildability; archive/materialization QA remains P13.4.,needs_archive_materialization_qa,planning/tfl6_mp11_phase12_runtime_closeout.json
runtime_scenario_smoke,runtime_build,Representative scenario smoke,MP11 comparison context only,200000 iterations; 76726 scheduled rows,tracked_runtime_output,candidate_runtime_smoke,Scenario smoke is not release QA or WFP equivalence.,Supports Phase 13 comparison; release decision remains P13.5.,not_blocking,planning/tfl6_mp11_phase12_runtime_closeout.json
